unique_carrier,airline_id,unique_carrier_entity,carrier_name,carrier_group,carrier_group_new,carrier_region
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
F9,20436,6460,Frontier Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AS,19930,6031,Alaska Airlines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
AS,19930,6031,Alaska Airlines Inc.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
DL,19790,1260,Delta Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
WN,19393,6725,Southwest Airlines Co.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
AA,19805,0A050,American Airlines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
UA,19977,0A875,United Air Lines Inc.,3,3,D
